"","t","trial"
"1",141,1
"2",138,2
"3",128,3
"4",132,4
"5",126,5
"6",134,6
"7",163,7
"8",149,8
"9",133,9
"10",110,10
"11",111,11
"12",145,12
"13",173,13
"14",165,14
"15",141,15
"16",132,16
"17",125,17
"18",134,18
"19",157,19
"20",166,20
"21",163,21
"22",165,22
"23",165,23
"24",165,24
"25",173,25
"26",165,26
"27",173,27
"28",158,28
"29",140,29
"30",139,30
"31",142,31
"32",140,32
"33",133,33
"34",143,34
"35",140,35
"36",136,36
"37",134,37
"38",146,38
"39",165,39
"40",157,40
"41",156,41
"42",149,42
"43",124,43
"44",141,44
"45",141,45
"46",165,46
"47",157,47
"48",150,48
"49",140,49
"50",157,50
"51",164,51
"52",166,52
"53",162,53
"54",173,54
"55",182,55
"56",190,56
"57",187,57
"58",172,58
"59",164,59
"60",164,60
"61",142,61
"62",164,62
"63",141,63
"64",148,64
"65",149,65
"66",140,66
"67",157,67
"68",158,68
"69",139,69
"70",146,70
"71",148,71
"72",149,72
"73",151,73
"74",165,74
"75",148,75
"76",152,76
"77",150,77
"78",167,78
"79",156,79
"80",133,80
"81",161,81
"82",152,82
"83",165,83
"84",165,84
"85",179,85
"86",181,86
"87",189,87
"88",189,88
"89",205,89
"90",199,90
"91",170,91
"92",173,92
"93",189,93
"94",213,94
"95",198,95
"96",179,96
"97",180,97
"98",206,98
"99",195,99
"100",188,100
"101",180,101
"102",188,102
"103",214,103
"104",178,104
"105",168,105
"106",157,106
"107",157,107
"108",157,108
"109",147,109
"110",165,110
"111",157,111
"112",147,112
"113",158,113
"114",181,114
"115",189,115
"116",198,116
"117",180,117
"118",189,118
"119",196,119
"120",194,120
"121",172,121
"122",157,122
"123",141,123
"124",137,124
"125",156,125
"126",148,126
"127",152,127
"128",145,128
"129",156,129
"130",148,130
"131",157,131
"132",181,132
"133",189,133
"134",173,134
"135",164,135
"136",172,136
"137",149,137
"138",172,138
"139",165,139
"140",149,140
"141",173,141
"142",172,142
"143",148,143
"144",157,144
"145",150,145
"146",147,146
"147",165,147
"148",156,148
"149",165,149
"150",165,150
"151",172,151
"152",165,152
"153",168,153
"154",181,154
"155",164,155
"156",156,156
"157",164,157
"158",157,158
"159",142,159
"160",185,160
"161",172,161
"162",165,162
"163",165,163
"164",149,164
"165",126,165
"166",156,166
"167",188,167
"168",189,168
"169",181,169
"170",172,170
"171",168,171
"172",163,172
"173",159,173
"174",153,174
"175",156,175
"176",149,176
"177",172,177
"178",156,178
"179",165,179
"180",149,180
"181",164,181
"182",173,182
"183",179,183
"184",188,184
"185",183,185
"186",161,186
"187",157,187
"188",146,188
"189",143,189
"190",154,190
"191",156,191
"192",149,192
"193",139,193
"194",157,194
"195",174,195
"196",157,196
"197",158,197
"198",166,198
"199",184,199
"200",197,200
"201",164,201
"202",188,202
"203",156,203
"204",164,204
"205",165,205
"206",175,206
"207",170,207
"208",154,208
"209",173,209
"210",188,210
"211",141,211
"212",157,212
"213",173,213
"214",192,214
"215",188,215
"216",181,216
"217",197,217
"218",173,218
"219",190,219
"220",204,220
"221",212,221
"222",221,222
"223",181,223
"224",181,224
"225",156,225
"226",180,226
"227",182,227
"228",187,228
"229",204,229
"230",173,230
"231",175,231
"232",177,232
"233",180,233
"234",284,234
"235",117,235
"236",148,236
"237",157,237
"238",140,238
"239",164,239
"240",172,240
"241",197,241
"242",166,242
"243",163,243
"244",166,244
"245",165,245
"246",139,246
"247",141,247
"248",163,248
"249",165,249
"250",173,250
"251",166,251
"252",180,252
"253",147,253
"254",157,254
"255",181,255
"256",189,256
"257",204,257
"258",184,258
"259",168,259
"260",189,260
"261",183,261
"262",165,262
"263",165,263
"264",189,264
"265",206,265
"266",201,266
"267",212,267
"268",189,268
"269",173,269
"270",168,270
"271",206,271
"272",195,272
"273",197,273
"274",181,274
"275",192,275
"276",173,276
"277",181,277
"278",182,278
"279",148,279
"280",155,280
"281",141,281
"282",173,282
"283",204,283
"284",181,284
"285",213,285
"286",205,286
"287",181,287
"288",174,288
"289",174,289
"290",153,290
"291",164,291
"292",204,292
"293",165,293
"294",175,294
"295",185,295
"296",171,296
"297",173,297
"298",167,298
"299",168,299
"300",172,300
"301",173,301
"302",188,302
"303",204,303
"304",192,304
"305",181,305
"306",180,306
"307",173,307
"308",149,308
"309",175,309
"310",409,310
"311",133,311
"312",173,312
"313",205,313
"314",260,314
"315",173,315
"316",182,316
"317",172,317
"318",166,318
"319",154,319
"320",174,320
"321",179,321
"322",166,322
"323",188,323
"324",247,324
"325",153,325
"326",149,326
"327",157,327
"328",180,328
"329",167,329
"330",192,330
"331",172,331
"332",173,332
"333",180,333
"334",180,334
"335",172,335
"336",172,336
"337",158,337
"338",155,338
"339",165,339
"340",157,340
"341",165,341
"342",165,342
"343",177,343
"344",188,344
"345",197,345
"346",182,346
"347",188,347
"348",161,348
"349",150,349
"350",146,350
"351",156,351
"352",181,352
"353",191,353
"354",179,354
"355",186,355
"356",214,356
"357",182,357
"358",179,358
"359",177,359
"360",183,360
"361",162,361
